Year,Public,Private
1889,12723,1611
1899,15503,1352
1909,17814,1558
1919,21578,1699
1929,25678,2651
1939,25434,2611
1949,25111,3380
1959,35182,5675
1969,45550,5500
1979,41651,5000
1980,40877,5331
1981,40044,5500
1982,39566,5600
1983,39252,5715
1984,39208,5700
1985,39422,5557
1986,39753,5452
1987,40008,5479
1988,40189,5242
1989,40543,5599
1990,41217,5648
1991,42047,5681
1992,42823,5870
1993,43465,6067
1994,44111,5994
1995,44840,5918
1996,45611,5933
1997,46127,5944
1998,46539,5988
1999,46857,6018
2000,47204,6169
2001,47672,6320
2002,48183,6220
2003,48540,6099
2004,48795,6087
2005,49113,6073
2006,49316,5991
2007,49293,5910
2008,49266,5707
2009,49361,5488
2010,49484,5391
2011,49636,5320
2012,49828,5263
2013,50067,5221
2014,50407,5192
2015,50773,5183
2016,51146,5185
2017,51524,5198
2018,51880,5218
2019,52260,5247
2020,52688,5287
2021,53113,5331
